Fold	c	f_score
fold-0	14.4	0.284162895928
fold-1	14.4	0.30099384761
fold-2	14.4	0.234589041096
fold-0	14.5	0.283514492754
fold-1	14.5	0.301136363636
fold-2	14.5	0.234589041096
fold-0	14.6	0.284420289855
fold-1	14.6	0.30099384761
fold-2	14.6	0.234589041096
fold-0	14.7	0.284034373587
fold-1	14.7	0.302457466919
fold-2	14.7	0.234589041096
fold-0	14.8	0.284291534631
fold-1	14.8	0.300473933649
fold-2	14.8	0.234589041096
fold-0	14.9	0.284162895928
fold-1	14.9	0.303773584906
fold-2	14.9	0.234589041096
fold-0	15.0	0.285067873303
fold-1	15.0	0.303116147309
fold-2	15.0	0.234589041096
fold-0	15.1	0.284162895928
fold-1	15.1	0.302457466919
fold-2	15.1	0.234589041096
fold-0	15.2	0.284162895928
fold-1	15.2	0.302457466919
fold-2	15.2	0.234589041096
fold-0	15.3	0.284162895928
fold-1	15.3	0.302457466919
fold-2	15.3	0.234589041096
fold-0	15.4	0.284162895928
fold-1	15.4	0.301797540208
fold-2	15.4	0.234589041096
fold-0	15.5	0.284420289855
fold-1	15.5	0.300473933649
fold-2	15.5	0.234589041096
fold-0	15.6	0.284162895928
fold-1	15.6	0.302457466919
fold-2	15.6	0.234589041096
fold-0	15.7	0.284162895928
fold-1	15.7	0.3003315964
fold-2	15.7	0.234589041096
fold-0	15.8	0.284420289855
fold-1	15.8	0.3003315964
fold-2	15.8	0.234589041096
fold-0	15.9	0.284162895928
fold-1	15.9	0.300473933649
fold-2	15.9	0.234589041096
fold-0	16.0	0.284162895928
fold-1	16.0	0.300473933649
fold-2	16.0	0.234589041096
fold-0	16.1	0.284420289855
fold-1	16.1	0.30099384761
fold-2	16.1	0.234589041096
fold-0	16.2	0.284552845528
fold-1	16.2	0.302457466919
fold-2	16.2	0.234589041096
fold-0	16.3	0.284420289855
fold-1	16.3	0.302457466919
fold-2	16.3	0.234589041096
fold-0	16.4	0.284291534631
fold-1	16.4	0.302457466919
fold-2	16.4	0.234589041096
fold-0	16.5	0.284420289855
fold-1	16.5	0.303773584906
fold-2	16.5	0.234589041096
fold-0	16.6	0.284162895928
fold-1	16.6	0.303116147309
fold-2	16.6	0.234589041096
fold-0	16.7	0.284291534631
fold-1	16.7	0.302314596127
fold-2	16.7	0.234589041096
fold-0	16.8	0.284162895928
fold-1	16.8	0.302457466919
fold-2	16.8	0.234589041096
fold-0	16.9	0.285067873303
fold-1	16.9	0.302457466919
fold-2	16.9	0.234589041096
fold-0	17.0	0.284162895928
fold-1	17.0	0.303116147309
fold-2	17.0	0.234589041096
fold-0	17.1	0.284162895928
fold-1	17.1	0.303116147309
fold-2	17.1	0.234589041096
fold-0	17.2	0.284162895928
fold-1	17.2	0.303116147309
fold-2	17.2	0.234589041096
fold-0	17.3	0.284162895928
fold-1	17.3	0.303116147309
fold-2	17.3	0.234589041096
fold-0	17.4	0.284810126582
fold-1	17.4	0.303116147309
fold-2	17.4	0.234589041096
fold-0	17.5	0.284810126582
fold-1	17.5	0.303773584906
fold-2	17.5	0.234589041096
fold-0	17.6	0.284291534631
fold-1	17.6	0.303630363036
fold-2	17.6	0.234589041096
fold-0	17.7	0.284810126582
fold-1	17.7	0.303116147309
fold-2	17.7	0.234589041096
fold-0	17.8	0.284420289855
fold-1	17.8	0.303630363036
fold-2	17.8	0.234589041096
fold-0	17.9	0.284162895928
fold-1	17.9	0.302457466919
fold-2	17.9	0.234589041096
fold-0	18.0	0.284291534631
fold-1	18.0	0.303116147309
fold-2	18.0	0.234589041096
fold-0	18.1	0.284162895928
fold-1	18.1	0.303773584906
fold-2	18.1	0.234589041096
fold-0	18.2	0.284291534631
fold-1	18.2	0.303773584906
fold-2	18.2	0.234589041096
fold-0	18.3	0.284810126582
fold-1	18.3	0.302314596127
fold-2	18.3	0.234589041096
fold-0	18.4	0.285843509724
fold-1	18.4	0.302314596127
fold-2	18.4	0.234589041096
fold-0	18.5	0.284162895928
fold-1	18.5	0.303773584906
fold-2	18.5	0.234589041096
fold-0	18.6	0.284810126582
fold-1	18.6	0.303773584906
fold-2	18.6	0.234589041096
fold-0	18.7	0.284810126582
fold-1	18.7	0.304941176471
fold-2	18.7	0.234589041096
fold-0	18.8	0.284938941655
fold-1	18.8	0.304429783223
fold-2	18.8	0.234589041096
fold-0	18.9	0.284162895928
fold-1	18.9	0.303630363036
fold-2	18.9	0.234589041096
fold-0	19.0	0.284810126582
fold-1	19.0	0.304429783223
fold-2	19.0	0.234589041096
fold-0	19.1	0.284034373587
fold-1	19.1	0.303773584906
fold-2	19.1	0.234589041096
fold-0	19.2	0.284681427926
